prefCode,prefJP,prefEN,date,tests,newCases,activeCases,severeCases,recovered,deaths,rt
1,北海道,Hokkaido,2020129,,1.0,,,,,
1,北海道,Hokkaido,2020130,,1.0,,,,,
1,北海道,Hokkaido,2020131,,1.0,,,,,
1,北海道,Hokkaido,202021,,1.0,,,,,
1,北海道,Hokkaido,2020210,,1.0,,,,,
1,北海道,Hokkaido,2020211,,1.0,,,,,
1,北海道,Hokkaido,2020212,,1.0,,,,,
1,北海道,Hokkaido,2020213,,1.0,,,,,
1,北海道,Hokkaido,2020214,,2.0,,,1.0,,
1,北海道,Hokkaido,2020215,,2.0,,,1.0,,
1,北海道,Hokkaido,2020216,,2.0,,,1.0,,
1,北海道,Hokkaido,2020217,,2.0,,,1.0,,
1,北海道,Hokkaido,2020218,,2.0,,,1.0,,
1,北海道,Hokkaido,2020219,,4.0,,,1.0,,
1,北海道,Hokkaido,202022,,1.0,,,,,
1,北海道,Hokkaido,2020220,,5.0,,,1.0,,
1,北海道,Hokkaido,2020221,,8.0,,,1.0,,
1,北海道,Hokkaido,2020222,,17.0,,,1.0,,
1,北海道,Hokkaido,2020223,,26.0,,,1.0,,
1,北海道,Hokkaido,2020224,,30.0,,,1.0,,
1,北海道,Hokkaido,2020225,,35.0,,,1.0,1.0,
1,北海道,Hokkaido,2020226,,39.0,,,1.0,1.0,
1,北海道,Hokkaido,2020227,,54.0,,,1.0,2.0,
1,北海道,Hokkaido,2020228,,66.0,,,2.0,2.0,
1,北海道,Hokkaido,2020229,,70.0,,,3.0,3.0,
1,北海道,Hokkaido,202023,,1.0,,,,,
1,北海道,Hokkaido,202024,,1.0,,,,,
1,北海道,Hokkaido,202025,,1.0,,,,,
1,北海道,Hokkaido,202026,,1.0,,,,,
1,北海道,Hokkaido,202027,,1.0,,,,,
1,北海道,Hokkaido,202028,,1.0,,,,,
1,北海道,Hokkaido,202029,,1.0,,,,,
1,北海道,Hokkaido,202031,,72.0,,,8.0,3.0,
1,北海道,Hokkaido,2020310,1094.0,111.0,,7.0,49.0,3.0,
1,北海道,Hokkaido,2020311,1174.0,118.0,,7.0,53.0,3.0,
1,北海道,Hokkaido,2020312,1250.0,128.0,,6.0,53.0,4.0,
1,北海道,Hokkaido,2020313,1323.0,137.0,,6.0,55.0,4.0,
1,北海道,Hokkaido,2020314,1410.0,144.0,,8.0,58.0,4.0,
